customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
DEMO-0000,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),31.63,172.54,No
DEMO-0001,Female,0,No,No,54,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,101.07,5192.8,Yes
DEMO-0002,Male,1,Yes,Yes,39,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,106.3,3530.85,Yes
DEMO-0003,Male,0,No,No,53,Yes,Yes,DSL,No,No,No,Yes,No,No internet service,Two year,No,Electronic check,86.92,4870.65,No
DEMO-0004,Male,1,Yes,No,3,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),103.82,347.49,No
DEMO-0005,Male,0,No,No,49,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Mailed check,28.1,1345.26,No
DEMO-0006,Male,0,No,No,44,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.7,4574.19,Yes
DEMO-0007,Female,0,Yes,No,41,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,95.76,3190.28,No
DEMO-0008,Female,1,Yes,No,30,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,116.74,2930.48,Yes
DEMO-0009,Male,0,No,Yes,69,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),62.86,4149.61,Yes
DEMO-0010,Female,0,No,Yes,9,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),41.28,416.87,Yes
DEMO-0011,Female,1,No,No,37,No,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),28.37,949.08,No
DEMO-0012,Male,1,Yes,No,61,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,103.49,5661.72,No
DEMO-0013,Female,0,No,No,36,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,82.77,2448.81,Yes
DEMO-0014,Male,0,Yes,No,25,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),52.31,1557.03,No
DEMO-0015,Female,0,No,No,45,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,83.03,3513.28,No
DEMO-0016,Male,0,Yes,No,27,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,92.61,2045.38,Yes
DEMO-0017,Female,1,No,Yes,9,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,93.29,910.8,No
DEMO-0018,Female,0,Yes,No,28,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,One year,No,Credit card (automatic),74.73,2031.84,No
DEMO-0019,Male,0,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,One year,No,Credit card (automatic),57.43,2037.87,No
DEMO-0020,Male,0,No,No,6,Yes,No,DSL,No,No internet service,Yes,No,No,No internet service,One year,No,Electronic check,108.76,666.39,Yes
DEMO-0021,Male,0,No,Yes,45,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,67.43,2990.12,Yes
DEMO-0022,Female,1,Yes,Yes,47,Yes,No,DSL,No,No internet service,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),57.98,2468.63,No
DEMO-0023,Female,0,No,No,48,Yes,No,No,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,18.12,777.89,No
DEMO-0024,Female,0,Yes,No,26,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,63.04,1887.61,Yes
DEMO-0025,Male,0,Yes,No,46,Yes,No phone service,DSL,No,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.59,753.76,No
DEMO-0026,Female,0,No,Yes,8,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),89.82,692.64,Yes
